"Points:0","Points:1","Points:2","U:0","U:1","U:2","arc_length","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus"
0.46200001,0,0.0049999999,0,0,0,0.46200001,1.50161,3.5348501e-05,5041.5254,0.84951401,-0.4529295,-0.000252417,0,72.645905
0.46399999,0,0.0049999999,0,0,0,0.46399999,1.5002401,3.5330952e-05,5039.2251,0.84535301,-0.452499,-0.00025078451,0,72.612747
0.46599999,0,0.0049999999,0,0,0,0.46599999,1.49888,3.5313547e-05,5036.9453,0.8412025,-0.45207,-0.00024917099,0,72.579803
0.46799999,0,0.0049999999,0,0,0,0.46799999,1.49753,3.5296252e-05,5034.6797,0.83706248,-0.451644,-0.000247199,0,72.547104
0.47,0,0.0049999999,0,0,0,0.47,1.4961901,3.5279052e-05,5032.4248,0.83293295,-0.4512215,-0.00024524698,0,72.514648
0.472,0,0.0049999999,0,0,0,0.472,1.4948599,3.5261997e-05,5030.1846,0.82881349,-0.45080298,-0.00024331399,0,72.482399
0.47400001,0,0.0049999999,0,0,0,0.47400001,1.49354,3.5245052e-05,5027.9648,0.82470399,-0.45038748,-0.000241776,0,72.450401
0.47600001,0,0.0049999999,0,0,0,0.47600001,1.4922299,3.52282e-05,5025.7598,0.82060498,-0.44997299,-0.0002402555,0,72.418602
0.47799999,0,0.0049999999,0,0,0,0.47799999,1.4909301,3.5211502e-05,5023.5654,0.81651598,-0.44956249,-0.000238376,0,72.387054
0.47999999,0,0.0049999999,0,0,0,0.47999999,1.489635,3.5194898e-05,5021.3848,0.81243753,-0.44915551,-0.000236514,0,72.355652
0.48199999,0,0.0049999999,0,0,0,0.48199999,1.4883499,3.51784e-05,5019.2246,0.8083685,-0.44875151,-0.00023466899,0,72.324448
0.484,0,0.0049999999,0,0,0,0.484,1.487075,3.5162e-05,5017.0801,0.80430901,-0.44835049,-0.00023321749,0,72.293449
0.486,0,0.0049999999,0,0,0,0.486,1.48581,3.5145698e-05,5014.9448,0.80025995,-0.44795102,-0.000231782,0,72.26265
0.48800001,0,0.0049999999,0,0,0,0.48800001,1.484555,3.5129549e-05,5012.8198,0.79622048,-0.44755501,-0.0002299865,0,72.232101
