"Points:0","Points:1","Points:2","U:0","U:1","U:2","arc_length","p","wallShearStress:0","wallShearStress:1","wallShearStress:2"
0.71200001,0,0.0049999999,0,0,0,0.71200001,9.7782002e-05,-0.0001363715,-2.49488e-08,0
0.71399999,0,0.0049999999,0,0,0,0.71399999,9.6703006e-05,-0.000136171,-2.4827699e-08,0
0.71600002,0,0.0049999999,0,0,0,0.71600002,9.562885e-05,-0.0001359715,-2.47235e-08,0
0.71799999,0,0.0049999999,0,0,0,0.71799999,9.4559597e-05,-0.00013577301,-2.462785e-08,0
0.72000003,0,0.0049999999,0,0,0,0.72000003,9.3495197e-05,-0.00013557551,-2.450745e-08,0
0.722,0,0.0049999999,0,0,0,0.722,9.2435599e-05,-0.000135379,-2.4387301e-08,0
0.72399998,0,0.0049999999,0,0,0,0.72399998,9.1380847e-05,-0.00013518301,-2.4292351e-08,0
0.72600001,0,0.0049999999,0,0,0,0.72600001,9.0330956e-05,-0.00013498749,-2.4189251e-08,0
0.72799999,0,0.0049999999,0,0,0,0.72799999,8.9285903e-05,-0.00013479349,-2.4078052e-08,0
0.73000002,0,0.0049999999,0,0,0,0.73000002,8.8245652e-05,-0.00013460001,-2.3975449e-08,0
0.73199999,0,0.0049999999,0,0,0,0.73199999,8.7210195e-05,-0.000134407,-2.3873049e-08,0
0.73400003,0,0.0049999999,0,0,0,0.73400003,8.61796e-05,-0.0001342155,-2.37709e-08,0
0.736,0,0.0049999999,0,0,0,0.736,8.5153748e-05,-0.000134025,-2.3660601e-08,0
0.73799998,0,0.0049999999,0,0,0,0.73799998,8.4132698e-05,-0.00013383501,-2.35505e-08,0
0.74000001,0,0.0049999999,0,0,0,0.74000001,8.3116502e-05,-0.0001336455,-2.345735e-08,0
0.74199998,0,0.0049999999,0,0,0,0.74199998,8.21051e-05,-0.00013345701,-2.33644e-08,0
0.74400002,0,0.0049999999,0,0,0,0.74400002,8.1098449e-05,-0.0001332695,-2.3255001e-08,0
0.74599999,0,0.0049999999,0,0,0,0.74599999,8.0096601e-05,-0.000133083,-2.3154151e-08,0
0.74800003,0,0.0049999999,0,0,0,0.74800003,7.9099555e-05,-0.000132897,-2.3061901e-08,0
0.75,0,0.0049999999,0,0,0,0.75,7.8107245e-05,-0.000132712,-2.2953198e-08,0
0.75199997,0,0.0049999999,0,0,0,0.75199997,7.7119752e-05,-0.000132528,-2.2853051e-08,0
0.75400001,0,0.0049999999,0,0,0,0.75400001,7.6137047e-05,-0.00013234399,-2.2761501e-08,0
0.75599998,0,0.0049999999,0,0,0,0.75599998,7.5159151e-05,-0.00013216099,-2.26618e-08,0
0.75800002,0,0.0049999999,0,0,0,0.75800002,7.4185999e-05,-0.0001319795,-2.2570699e-08,0
0.75999999,0,0.0049999999,0,0,0,0.75999999,7.3217649e-05,-0.0001317985,-2.2479799e-08,0
0.76200002,0,0.0049999999,0,0,0,0.76200002,7.2254144e-05,-0.000131618,-2.238075e-08,0
0.764,0,0.0049999999,0,0,0,0.764,7.129545e-05,-0.0001314385,-2.2281899e-08,0
0.76599997,0,0.0049999999,0,0,0,0.76599997,7.034155e-05,-0.0001312595,-2.2183201e-08,0
0.76800001,0,0.0049999999,0,0,0,0.76800001,6.9392452e-05,-0.0001310815,-2.20847e-08,0
0.76999998,0,0.0049999999,0,0,0,0.76999998,6.8448149e-05,-0.00013090449,-2.1994651e-08,0
0.77200001,0,0.0049999999,0,0,0,0.77200001,6.7508648e-05,-0.00013072751,-2.19047e-08,0
0.77399999,0,0.0049999999,0,0,0,0.77399999,6.6574001e-05,-0.0001305515,-2.1806599e-08,0
