"Points:0","Points:1","Points:2","U:0","U:1","U:2","arc_length","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2"
0.78200001,0,0.0049999999,0,0,0,0.78200001,1e-15,0,158024,0.1005625,-0.1850425,-4.0477548e-06,0
0.78399998,0,0.0049999999,0,0,0,0.78399998,1e-15,0,158024,0.099496149,-0.18495101,-4.0268696e-06,0
0.78600001,0,0.0049999999,0,0,0,0.78600001,1e-15,0,158024,0.098431796,-0.1848595,-4.015345e-06,0
0.78799999,0,0.0049999999,0,0,0,0.78799999,1e-15,0,158024,0.097368598,-0.1847685,-4.00506e-06,0
0.79000002,0,0.0049999999,0,0,0,0.79000002,1e-15,0,158024,0.096304402,-0.184678,-3.9902698e-06,0
0.792,0,0.0049999999,0,0,0,0.792,1e-15,0,158024,0.095239803,-0.184588,-3.97442e-06,0
0.79400003,0,0.0049999999,0,0,0,0.79400003,1e-15,0,158024,0.094178155,-0.184498,-3.9625047e-06,0
0.796,0,0.0049999999,0,0,0,0.796,1e-15,0,158024,0.093119852,-0.18440799,-3.9505749e-06,0
0.79799998,0,0.0049999999,0,0,0,0.79799998,1e-15,0,158024,0.092062302,-0.1843185,-3.934605e-06,0
0.80000001,0,0.0049999999,0,0,0,0.80000001,1e-15,0,158024,0.091005504,-0.18423,-3.9301499e-06,0
0.80199999,0,0.0049999999,0,0,0,0.80199999,1e-15,0,158024,0.089951545,-0.184141,-3.92214e-06,0
0.80400002,0,0.0049999999,0,0,0,0.80400002,1e-15,0,158024,0.088901252,-0.1840525,-3.903695e-06,0
0.80599999,0,0.0049999999,0,0,0,0.80599999,1e-15,0,158024,0.087853052,-0.18396449,-3.9010201e-06,0
0.80800003,0,0.0049999999,0,0,0,0.80800003,1e-15,0,158024,0.086807147,-0.18387601,-3.8860749e-06,0
0.81,0,0.0049999999,0,0,0,0.81,1e-15,0,158024,0.085766651,-0.18378851,-3.8471098e-06,0
0.81199998,0,0.0049999999,0,0,0,0.81199998,1e-15,0,158024,0.084732205,-0.18370101,-3.823865e-06,0
0.81400001,0,0.0049999999,0,0,0,0.81400001,1e-15,0,158024,0.0836998,-0.18361351,-3.8151247e-06,0
0.81599998,0,0.0049999999,0,0,0,0.81599998,1e-15,0,158024,0.082667999,-0.1835265,-3.7947848e-06,0
0.81800002,0,0.0049999999,0,0,0,0.81800002,1e-15,0,158024,0.081638098,-0.18344,-3.7673699e-06,0
0.81999999,0,0.0049999999,0,0,0,0.81999999,1e-15,0,158024,0.080609299,-0.1833545,-3.75696e-06,0
0.82200003,0,0.0049999999,0,0,0,0.82200003,1e-15,0,158024,0.079579696,-0.18326899,-3.758495e-06,0
0.824,0,0.0049999999,0,0,0,0.824,1e-15,0,158024,0.078549899,-0.183183,-3.7515201e-06,0
0.82599998,0,0.0049999999,0,0,0,0.82599998,1e-15,0,158024,0.077522799,-0.183097,-3.7324648e-06,0
0.82800001,0,0.0049999999,0,0,0,0.82800001,1e-15,0,158024,0.076498598,-0.18301201,-3.7126799e-06,0
0.82999998,0,0.0049999999,0,0,0,0.82999998,1e-15,0,158024,0.075475,-0.182928,-3.70524e-06,0
0.83200002,0,0.0049999999,0,0,0,0.83200002,1e-15,0,158024,0.074452102,-0.18284351,-3.7013649e-06,0
0.83399999,0,0.0049999999,0,0,0,0.83399999,1e-15,0,158024,0.073431753,-0.18275899,-3.694425e-06,0
0.83600003,0,0.0049999999,0,0,0,0.83600003,1e-15,0,158024,0.072414503,-0.182675,-3.6848551e-06,0
0.838,0,0.0049999999,0,0,0,0.838,1e-15,0,158024,0.071399048,-0.1825915,-3.6730701e-06,0
0.83999997,0,0.0049999999,0,0,0,0.83999997,1e-15,0,158024,0.070386201,-0.18250799,-3.6593901e-06,0
0.84200001,0,0.0049999999,0,0,0,0.84200001,1e-15,0,158024,0.0693781,-0.1824245,-3.6318449e-06,0
0.84399998,0,0.0049999999,0,0,0,0.84399998,1e-15,0,158024,0.068374798,-0.1823415,-3.6097799e-06,0
0.84600002,0,0.0049999999,0,0,0,0.84600002,1e-15,0,158024,0.067373402,-0.1822585,-3.5932949e-06,0
0.84799999,0,0.0049999999,0,0,0,0.84799999,1e-15,0,158024,0.0663727,-0.18217599,-3.574035e-06,0
0.85000002,0,0.0049999999,0,0,0,0.85000002,1e-15,0,158024,0.065373801,-0.1820935,-3.5643202e-06,0
0.852,0,0.0049999999,0,0,0,0.852,1e-15,0,158024,0.064375751,-0.1820115,-3.5540552e-06,0
0.85399997,0,0.0049999999,0,0,0,0.85399997,1e-15,0,158024,0.063377053,-0.18193001,-3.5379051e-06,0
0.85600001,0,0.0049999999,0,0,0,0.85600001,1e-15,0,158024,0.062378548,-0.181849,-3.5231701e-06,0
0.85799998,0,0.0049999999,0,0,0,0.85799998,1e-15,0,158024,0.06138245,-0.18176851,-3.5221999e-06,0
0.86000001,0,0.0049999999,0,0,0,0.86000001,1e-15,0,158024,0.060388949,-0.181687,-3.51893e-06,0
0.86199999,0,0.0049999999,0,0,0,0.86199999,1e-15,0,158024,0.059396349,-0.18160599,-3.501365e-06,0
0.86400002,0,0.0049999999,0,0,0,0.86400002,1e-15,0,158024,0.058405001,-0.18152601,-3.4890099e-06,0
0.866,0,0.0049999999,0,0,0,0.866,1e-15,0,158024,0.057416052,-0.181446,-3.474245e-06,0
0.86799997,0,0.0049999999,0,0,0,0.86799997,1e-15,0,158024,0.056430001,-0.1813665,-3.4633899e-06,0
0.87,0,0.0049999999,0,0,0,0.87,1e-15,0,158024,0.055446252,-0.18128699,-3.4591499e-06,0
0.87199998,0,0.0049999999,0,0,0,0.87199998,1e-15,0,158024,0.054464102,-0.18120751,-3.445115e-06,0
0.87400001,0,0.0049999999,0,0,0,0.87400001,1e-15,0,158024,0.053486299,-0.181128,-3.426695e-06,0
0.87599999,0,0.0049999999,0,0,0,0.87599999,1e-15,0,158024,0.052513748,-0.18104899,-3.406175e-06,0
0.87800002,0,0.0049999999,0,0,0,0.87800002,1e-15,0,158024,0.051542599,-0.18097049,-3.38207e-06,0
0.88,0,0.0049999999,0,0,0,0.88,1e-15,0,158024,0.050571699,-0.1808925,-3.3634899e-06,0
0.88200003,0,0.0049999999,0,0,0,0.88200003,1e-15,0,158024,0.049602047,-0.1808145,-3.3558849e-06,0
0.884,0,0.0049999999,0,0,0,0.884,1e-15,0,158024,0.048632499,-0.18073651,-3.3471799e-06,0
0.88599998,0,0.0049999999,0,0,0,0.88599998,1e-15,0,158024,0.047661699,-0.180659,-3.3414349e-06,0
0.88800001,0,0.0049999999,0,0,0,0.88800001,1e-15,0,158024,0.046690051,-0.18058151,-3.336085e-06,0
0.88999999,0,0.0049999999,0,0,0,0.88999999,1e-15,0,158024,0.045720398,-0.1805045,-3.3286451e-06,0
0.89200002,0,0.0049999999,0,0,0,0.89200002,1e-15,0,158024,0.04475265,-0.180427,-3.32022e-06,0
0.89399999,0,0.0049999999,0,0,0,0.89399999,1e-15,0,158024,0.0437847,-0.18035001,-3.3159949e-06,0
0.89600003,0,0.0049999999,0,0,0,0.89600003,1e-15,0,158024,0.04281655,-0.1802735,-3.315115e-06,0
0.898,0,0.0049999999,0,0,0,0.898,1e-15,0,158024,0.041850351,-0.180197,-3.3034901e-06,0
0.89999998,0,0.0049999999,0,0,0,0.89999998,1e-15,0,158024,0.040886648,-0.180121,-3.297765e-06,0
0.90200001,0,0.0049999999,0,0,0,0.90200001,1e-15,0,158024,0.039924003,-0.18004501,-3.2892949e-06,0
0.90399998,0,0.0049999999,0,0,0,0.90399998,1e-15,0,158024,0.038963802,-0.17997,-3.2694402e-06,0
0.90600002,0,0.0049999999,0,0,0,0.90600002,1e-15,0,158024,0.03800825,-0.179895,-3.2518151e-06,0
0.90799999,0,0.0049999999,0,0,0,0.90799999,1e-15,0,158024,0.037057102,-0.17982,-3.2397902e-06,0
0.91000003,0,0.0049999999,0,0,0,0.91000003,1e-15,0,158024,0.0361076,-0.179745,-3.2337e-06,0
0.912,0,0.0049999999,0,0,0,0.912,1e-15,0,158024,0.035158403,-0.1796695,-3.2156149e-06,0
0.91399997,0,0.0049999999,0,0,0,0.91399997,1e-15,0,158024,0.034210898,-0.17959499,-3.1899249e-06,0
0.91600001,0,0.0049999999,0,0,0,0.91600001,1e-15,0,158024,0.033264302,-0.1795215,-3.1813101e-06,0
0.91799998,0,0.0049999999,0,0,0,0.91799998,1e-15,0,158024,0.032316603,-0.1794475,-3.184555e-06,0
0.92000002,0,0.0049999999,0,0,0,0.92000002,1e-15,0,158024,0.031368352,-0.1793735,-3.17902e-06,0
0.92199999,0,0.0049999999,0,0,0,0.92199999,1e-15,0,158024,0.0304226,-0.1793,-3.1690802e-06,0
0.92400002,0,0.0049999999,0,0,0,0.92400002,1e-15,0,158024,0.0294796,-0.179226,-3.158425e-06,0
0.926,0,0.0049999999,0,0,0,0.926,1e-15,0,158024,0.028536901,-0.17915249,-3.1519398e-06,0
0.92799997,0,0.0049999999,0,0,0,0.92799997,1e-15,0,158024,0.0275946,-0.1790795,-3.1406848e-06,0
0.93000001,0,0.0049999999,0,0,0,0.93000001,1e-15,0,158024,0.02665445,-0.1790075,-3.12609e-06,0
0.93199998,0,0.0049999999,0,0,0,0.93199998,1e-15,0,158024,0.025717001,-0.1789355,-3.125605e-06,0
